DATE,SP500,DJIA,NASDAQ100
2016-10-12,2139.18,18144.2,4819.63
2016-10-13,2132.55,18098.94,4803.1
2016-10-14,2132.98,18138.38,4808.48
2016-10-17,2126.5,18086.4,4796.17
2016-10-18,2139.6,18161.94,4839.72
2016-10-19,2144.29,18202.62,4836.61
2016-10-20,2141.34,18162.35,4832.71
2016-10-21,2141.16,18145.71,4851.86
2016-10-24,2151.33,18223.03,4909.97
2016-10-25,2143.16,18169.27,4891.45
2016-10-26,2139.43,18199.33,4860.59
2016-10-27,2133.04,18169.68,4836.45
2016-10-28,2126.41,18161.19,4805.59
2016-10-31,2126.15,18142.42,4801.27
2016-11-01,2111.72,18037.1,4766.94
2016-11-02,2097.94,17959.64,4726.91
2016-11-03,2088.66,17930.67,4679.1
2016-11-04,2085.18,17888.28,4660.46
2016-11-07,2131.52,18259.6,4773.73
2016-11-08,2139.56,18332.74,4804.92
2016-11-09,2163.26,18589.69,4825.18
2016-11-10,2167.48,18807.88,4747.03
2016-11-11,2164.45,18847.66,4751.95
2016-11-14,2164.2,18868.69,4702.04
2016-11-15,2180.39,18923.06,4764.47
2016-11-16,2176.94,18868.14,4792.27
2016-11-17,2187.12,18903.82,4826.59
2016-11-18,2181.9,18867.93,4808.04
2016-11-21,2198.18,18956.69,4859.0
2016-11-22,2202.94,19023.87,4873.84
2016-11-23,2204.72,19083.18,4853.86
2016-11-24,,,
2016-11-25,2213.35,19152.14,4870.02
2016-11-28,2201.72,19097.9,4857.02
2016-11-29,2204.66,19121.6,4873.21
2016-11-30,2198.81,19123.58,4810.81
2016-12-01,2191.08,19191.93,4734.1
2016-12-02,2191.95,19170.42,4739.37
2016-12-05,2204.71,19216.24,4778.14
2016-12-06,2212.23,19251.78,4788.67
2016-12-07,2241.35,19549.62,4851.94
2016-12-08,2246.19,19614.81,4859.19
2016-12-09,2259.53,19756.85,4895.9
2016-12-12,2256.96,19796.43,4874.3
2016-12-13,2271.72,19911.21,4935.84
2016-12-14,2253.28,19792.53,4921.22
2016-12-15,2262.03,19852.24,4933.41
2016-12-16,2258.07,19843.41,4914.86
2016-12-19,2262.53,19883.06,4934.85
2016-12-20,2270.76,19974.62,4953.8
2016-12-21,2265.18,19941.96,4948.9
2016-12-22,2260.96,19918.88,4934.39
2016-12-23,2263.79,19933.81,4940.02
2016-12-26,,,
2016-12-27,2268.88,19945.04,4965.81
2016-12-28,2249.92,19833.68,4926.29
2016-12-29,2249.26,19819.78,4918.28
2016-12-30,2238.83,19762.6,4863.62
2017-01-02,,,
2017-01-03,2257.83,19881.76,4911.33
2017-01-04,2270.75,19942.16,4937.21
2017-01-05,2269.0,19899.29,4964.95
2017-01-06,2276.98,19963.8,5007.08
2017-01-09,2268.9,19887.38,5024.9
2017-01-10,2268.9,19855.53,5035.17
